population_rank,state,name,population,requirement,housing_duty,plan_mandate,coverage,assessment_actor,assessment_detail,assessment_method,assessment_local_role,allocation,allocation_authority,allocation_detail,enforcement,key_distinction,timing_note,checked_on,review_status,uncertainties,sources,contents
22,MN,Minnesota,5830405,required_subset,Metropolitan comprehensive plans must include a housing element and housing implementation program.,The Metropolitan Land Planning Act requires comprehensive plans and decennial review within the Metropolitan Council region. General municipal planning is governed separately by §462.355.,"Metropolitan Council territory: Anoka, Carver, Dakota (excluding Northfield and Cannon Falls), Hennepin (excluding Hanover and Rockford), Ramsey, Scott (excluding New Prague), and Washington counties. No municipal population cutoff. Housing-element duty extends to communities without forecast sewer-serviced growth, although allocation/capacity requirements do not.",regional,The Metropolitan Council calculates the region’s future affordable-housing need and each applicable sewer-growth jurisdiction’s share. This future-need calculation concerns added lower-income households; it excludes existing unmet demand. Cities and townships separately assess current local and regional housing needs.,"The Metropolitan Council sets and updates the regional methodology each planning cycle. Its 2021–2030 allocation uses forecast growth, existing affordable stock and low-wage job–worker balance. The 2031–2040 cycle focuses on housing affordable at or below 60% AMI, with lower-income bands. Council-provided Existing Housing Assessments are starting data for separate local diagnosis.",Covered localities report their future-need allocation and guide sufficient land/density where the allocation applies. They also use local knowledge to analyze existing needs and prepare implementation policies. Jurisdictions without forecast sewer-serviced growth still have housing-element duties even when they receive no future-need allocation.,regional_subset,Metropolitan Council,"Met Council forecasts regional affordable-housing need and assigns shares to communities expecting sewer-serviced household growth. Plans must guide adequate land at qualifying densities, rather than guarantee production. Current 2021–2030 need and the 2031–2040 allocation for 2050 plans are distinct; the latter focuses on affordability at ≤30%, 31–50%, and 51–60% AMI.",Local plans go to Met Council before final approval. Local zoning and controls must conform to the comprehensive plan; Met Council reviews plans against metropolitan planning requirements.,"This is a metropolitan-region mandate with an affordable-need allocation, not a statewide requirement. Communities without forecast sewer-serviced growth still need a housing element but are exempt from allocation-dependent land requirements.",,2026-09-20,source_checked,,"Minn. Stat. §473.859, subds.2(c),4(3): https://www.revisor.mn.gov/statutes/cite/473.859 | Minn. Stat. §473.858: https://www.revisor.mn.gov/statutes/cite/473.858 | Minn. Stat. §473.121, subd.2: https://www.revisor.mn.gov/statutes/cite/473.121 | Met Council, Allocation of Future Affordable Housing Need: https://metrocouncil.org/Housing/Planning/Affordable-Housing-Measures/Allocation-of-Affordable-Housing-NEED.aspx | Met Council, Imagine2050: Roles, responsibilities, and implementation: https://imagine2050.metrocouncil.org/reference-materials/housing/roles-responsibilities-and-implementation/ | Minn. Stat. §462.355, subds.1–3: https://www.revisor.mn.gov/statutes/cite/462.355","Housing needs (required): Existing and projected local/regional housing needs; 2050 guidance adds explicit analysis of existing community needs. | Income groups (required): Low/moderate income housing opportunities and the region's affordable-housing allocation. | Land capacity (conditional): Guide sufficient residential land at suitable density for allocated affordable need where sewer-serviced growth is forecast. | Action program (required): Housing implementation program using official controls, fiscal tools and sequenced actions. | Preservation (required): 2050 guidance includes maintenance/preservation and current housing needs within the implementation analysis."
23,SC,South Carolina,5570274,required_if_plan,Housing is a required comprehensive-plan element when a municipality undertakes the statutory comprehensive planning process.,Creating a local planning commission is optional. A statutory comprehensive plan must include the housing element; housing-element adoption is also a prerequisite to land-development regulations under § 6-29-1130(A).,"Municipalities/county planning jurisdictions using Chapter 29; no population cutoff. Plan elements may be adopted incrementally. Zoning requires at least land use; land-development regulations additionally require housing, community facilities, and priority investment elements.",local_or_regional,"The local planning commission produces the surveys, inventory and statement of housing needs/goals for its planning jurisdiction. A municipality may use its own commission, a joint commission, or a county commission acting by agreement. Those local/joint arrangements assess need; the statute does not assign that assessment to a state agency.","Sections 6-29-340 and -510 prescribe the required process and subjects: conditions and probable future development, needs/goals, population and household trends, housing tenure/condition/affordability, and regulatory-cost/incentive analysis. The commission solicits housing-industry and finance input. The chapter prescribes no numerical state housing-need formula.","The responsible municipal, joint or county commission develops the analysis and recommends the element for adoption by the governing bodies. It considers adjacent jurisdictions and regional issues; no externally assigned municipal housing-unit share appears in this regime.",local_assessment,No external allocator identified,The local commission inventories conditions and states needs/goals; it must consider regional conflicts. Chapter 29 does not assign quantified regional housing need to individual municipalities.,Local hearings/adoption and periodic review apply. Housing-element adoption is required before land-development regulations; the reviewed chapter has no state municipal-need allocation or housing-element certification agency.,"Housing is mandatory within the statutory plan, while state law does not compel every municipality to create that planning framework. Housing-stock inventory is not California’s developable-site inventory.",,2026-09-20,source_checked,,"S.C. Code §§ 6-29-320, -340, -510, -530, -720, -1130: https://www.scstatehouse.gov/code/t06c029.php","Housing needs (required): Inventory existing housing location, type, age, condition, tenure and affordability; state needs and goals. This is housing-stock analysis, not a required parcel inventory. | Development constraints (required): Analyze unnecessary regulatory costs and market-based affordability incentives; solicit homebuilder, developer, contractor and housing-finance input. | Action program (required): Planning elements must have implementation strategies and time frames. | Monitoring (required): Review at least every five years and update the comprehensive plan including all elements at least every ten years."
24,AL,Alabama,5193088,no_explicit_requirement,No express housing element or citywide housing-needs component appears in the reviewed master-plan contents.,Municipalities may create a commission under § 11-52-2; an established commission has a master-plan duty under § 11-52-8.,General city/town planning framework statewide; no housing-specific population trigger in §§ 11-52-2 or -8.,not_required_or_specified,"The municipal commission must study general present conditions and future growth, but the reviewed master-plan provisions do not specify a housing-need estimate or housing assessor.","Sections 11-52-8 and -9 identify physical-development topics and broad survey purposes, without a housing-unit demand formula or an incorporated state need estimate. The previously disclosed current official-code access gap remains.",An established commission performs general master planning and may include locally selected housing work. This review does not establish a required local housing calculation or an external assigned count.,none_identified,No external allocator identified,Section 11-52-8 enumerates physical-development and zoning recommendations without assigning housing need among municipalities. Section -9’s general attention to future growth is not municipal unit allocation.,General master-plan adoption and public-project review procedures exist. The reviewed sections contain no housing-element certification or assigned housing-unit enforcement.,An Alabama city may include housing in its own plan. That local choice does not make the subject a state-required housing element.,,2026-09-20,needs_review,The legislature’s current code app returned a shell instead of § 11-52-8 text. A current official statewide text check remains desirable; the 2025 mirror and City of Mobile reproduction agree on the operative contents.,"Ala. Code §§ 11-52-2, -8 through -11 (municipally hosted reproduction): https://www.buildmobile.org/pdf/Title%2011%20Chapter%2052.pdf | Ala. Code § 11-52-8 (2025 mirror): https://law.justia.com/codes/alabama/title-11/title-2/chapter-52/article-1/section-11-52-8/ | Ala. Code § 11-52-2 (2025 mirror): https://law.justia.com/codes/alabama/title-11/title-2/chapter-52/article-1/section-11-52-2/ | City of Athens, Planning & Zoning Documents: https://athensalabama.us/498/Planning-Zoning-Documents",
25,LA,Louisiana,4618189,no_explicit_requirement,The reviewed municipal master-plan statutes do not require a citywide housing element. General public-housing layout and blight replanning are permissible subjects.,Municipalities may create a planning commission under § 33:102; the commission then shall prepare/adopt a master plan under § 33:106.,General statewide municipal regime plus the special Shreveport master-plan statute reviewed. No housing-specific population cutoff appears in those content provisions.,not_required_or_specified,Neither the general municipal master-plan provision nor the reviewed Shreveport provision requires a citywide housing-need estimate or designates a housing assessor.,Sections 33:106 and 33:140.8 prescribe general physical-planning recommendations; the optional public-housing/blight subjects contain no municipal housing-demand formula or state need total.,"Municipal commissions prepare the general plan and may consider public-housing layout or blight. Those choices are not a required citywide housing-needs calculation, and no external housing-unit assignment appears in the reviewed provisions.",none_identified,No external allocator identified,Neither the general content statute nor the reviewed Shreveport provision identifies an external housing-need allocator or assigns municipal unit shares.,"No housing-element certification, housing production target, or housing-specific penalty appears in the reviewed master-plan provisions. General plan duties remain applicable to established commissions.",Public-housing layout is an optional physical-planning subject under § 33:106(B)(2); it does not require an inventory of all developable housing sites or a municipal needs assessment.,,2026-09-20,source_checked,,La. Rev. Stat. § 33:102: https://www.legis.la.gov/legis/Law.aspx?d=88647 | La. Rev. Stat. § 33:106: https://www.legis.la.gov/Legis/Law.aspx?d=88652 | La. Rev. Stat. § 33:140.8: https://www.legis.la.gov/legis/Law.aspx?d=89202 | La. Rev. Stat. § 33:140.3: https://www.legis.la.gov/legis/Law.aspx?d=89174,
26,KY,Kentucky,4606864,encouraged,"Housing is expressly optional as an additional element under § 100.187(6), and expressly encouraged by state housing policy in § 198A.025(9).",The planning commission of each Chapter 100 planning unit must prepare a comprehensive plan.,Local planning commissions under Chapter 100 statewide; no population cutoff in the housing encouragement. The underlying plan duty attaches to established planning units.,not_required_or_specified,"Housing is an optional local comprehensive-plan element. Section 198A.025 separately makes identifying Kentuckians’ basic housing needs a state policy objective, but these provisions do not establish a required municipal housing-need estimate or assign a state-calculated municipal number.","Section 100.187(6) leaves inclusion of the additional element to the planning commission. Section 198A.025 lists state policy objectives and encouragement, not a municipal housing-assessment formula or required local dataset.",A local commission may include a housing element and carry out housing analysis. The encouragement does not establish that it must do so or that any outside housing-unit estimate must be accommodated.,none_identified,No external allocator identified,"The reviewed provisions encourage local housing planning without a municipal unit allocation. Section 198A.025 describes state housing-policy objectives, not an apportionment formula.","Core comprehensive-plan requirements remain applicable, but these provisions establish no penalty for omitting the expressly optional housing element.","Kentucky is an explicit encouragement case. The state-owned-land inventory mentioned in § 198A.025 is a state policy objective, not a required municipal housing-site inventory.",,2026-09-20,source_checked,,Ky. Rev. Stat. § 100.187: https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=26711 | Ky. Rev. Stat. § 100.183: https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=26710 | Ky. Rev. Stat. § 198A.025: https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=6926,
27,OR,Oregon,4273586,required_statewide,Goal 10 housing planning applies to all cities. Housing-capacity analyses and housing-production strategies impose expanded duties on designated jurisdictions.,All cities must plan for housing through comprehensive plans complying with Statewide Planning Goal 10.,"Basic duty: all cities. Expanded cycle generally applies at ≥10,000 population. ORS197A.015 also includes every Tillamook County city and Barview/Twin Rocks/Watseco, Cloverdale, Hebo, Neahkahnie, Neskowin, Netarts, Oceanside and Pacific City/Woods regardless of size, plus county jurisdiction over Metro urban unincorporated lands. Metro capacity cycle: six years; outside Metro: eight. Smaller cities also face inventory duties at specified plan reviews.",state,"The Oregon Department of Administrative Services conducts the annual Oregon Housing Needs Analysis, estimating statewide and regional needs over 20 years, underproduction, homelessness and second-home conversion. It allocates need to cities. Local housing-capacity and contextualized-needs analysis follows.","State statute identifies the components and income bands; DAS performs the analysis and considers population forecasts, regional job growth, equitable distribution and specified Metro projections. DLCD and Oregon Housing and Community Services assist DAS and may recommend methodological changes.","Cities use allocated need in their housing planning and assess buildable land, capacity and local context. Expanded jurisdictions prepare production strategies. Local capacity assessment is distinct from calculating the external 20-year need.",state_or_regional,Oregon Department of Administrative Services,"DAS allocates 20-year need to each city and a separate Metro-unincorporated allocation to each Metro county. Need is segmented at <30%, 30–<60%, 60–<80%, 80–<120%, and ≥120% median family income. Separate six-/eight-year production targets apply to expanded-duty jurisdictions; these are distinct from the universal need allocation.",DLCD reviews production strategies and may approve or remand them; its housing acceleration program tracks production and implementation for expanded jurisdictions.,"The 10,000 cutoff is not an exemption from housing planning or from allocation of 20-year need. Distinguish statewide need allocation from the separate production-target/strategy system.",,2026-09-20,source_checked,,"OAR660-015-0000(10), Statewide Planning Goal10: https://www.oregon.gov/lcd/OP/Documents/goal10.pdf | Or. Rev. Stat. §§197A.015, .100, .270, .280, .335: https://www.oregonlegislature.gov/bills_laws/ors/ors197a.html | Or. Rev. Stat. §§184.451–.455: https://www.oregonlegislature.gov/bills_laws/ors/ors184.html | DLCD, Oregon’s Housing Planning Program: https://www.oregon.gov/lcd/Housing/Pages/Planning_Program.aspx","Housing needs (required): Needed housing over the planning period; expanded-duty jurisdictions add contextualized needs. | Income groups (required): State allocations disaggregate affordability brackets. | Land / sites inventory (required): Goal 10 requires buildable residential land inventory. §197A.270 requires identifiable lots/parcels, except infill/redevelopment land; expanded program adds development-ready mapping. | Land capacity (required): Determine whether buildable land accommodates 20-year need; detailed cyclic analyses for expanded-duty jurisdictions. | Development constraints (conditional): Production strategies consider market conditions and development barriers. | Fair housing (conditional): Expanded production strategies must promote fair housing. | Action program (conditional): Expanded jurisdictions adopt timed housing-production actions, normally within a year after capacity-analysis deadline. | Monitoring (conditional): Mid-cycle production-strategy evaluation and state acceleration program for expanded jurisdictions."
28,OK,Oklahoma,4123288,no_explicit_requirement,"No express citywide housing element, housing-needs inventory, or housing allocation is required by the reviewed general and large-city plan-content provisions.",General commissions are optional under § 45-101 and prepare plans under § 45-103. The additional large-city framework authorizes commissions with a master-plan duty under § 47-106.,"General municipal commissions plus the separate large-city regime reviewed. Section 47-101 opens with a population threshold of at least 200,000 by latest federal census (its municipality definition says over 200,000); that is a planning-regime threshold, not a housing-element trigger.",not_required_or_specified,"General municipal and regional commissions prepare development plans, and large-city commissions prepare master plans. The reviewed Title 11 provisions do not require a housing-need estimate or designate a housing assessor.","Sections 45-103, 46-103 and 47-106 provide survey/planning powers and physical-development subjects without a housing-demand formula or a state-calculated municipal planning total.","Commissions perform general physical planning and may investigate local development subjects. Regional cooperation or planning for residence is not, by itself, a required housing-needs assessment; the reviewed law supplies no external housing-unit share to accommodate.",none_identified,No external allocator identified,Neither municipal physical planning nor regional coordination in the reviewed Title 11 provisions apportions housing-unit need among municipalities.,The reviewed provisions establish general planning duties; no dedicated housing-element certification or allocated-unit compliance requirement is identified.,"Plans for a municipality’s betterment as a place of residence and a zoning plan do not themselves require a housing-needs element. Population thresholds distinguish commission powers, not housing obligations.",,2026-09-20,source_checked,,"Okla. Stat. tit. 11, § 45-101: https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=76537 | Okla. Stat. tit. 11, §§ 45-103, 46-103, 47-102: https://oksenate.gov/sites/default/files/2019-12/os11.pdf | Okla. Stat. tit. 11, § 47-101: https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=76545 | Okla. Stat. tit. 11, § 47-106: https://www.oscn.net/applications/oscn/DeliverDocument.asp?CiteID=76550 | Oklahoma HB1051, 60th Legislature, bill status: https://www.oklegislature.gov/BillInfo.aspx?Bill=hb1051&Session=2500 | Oklahoma HB1114, 60th Legislature, bill status: https://www.oklegislature.gov/BillInfo.aspx?Bill=hb1114&Session=2500",
29,CT,Connecticut,3688496,required_statewide,"New housing growth planning law effective January 1, 2026 replaces repealed §8-30j. First municipal/regional plans are due in 2028 or 2029, then every five years.",Each municipality must prepare a housing growth plan or elect to comply with its regional plan. It may be combined with a coinciding plan of conservation and development.,"All municipalities; no population cutoff. June 1, 2028: Capitol, Northeastern, Lower Connecticut River Valley, Northwest Hills and Southeastern regions. After June 1, 2028 but by June 1, 2029: South Central, Greater Bridgeport, Naugatuck Valley and Western regions. The lowest twenty municipalities by adjusted equalized net grand list per capita have preservation-focused plans and are excluded from recommended-goal allocation.",state,"Under the enacted framework, OPM's Secretary evaluates ten-year housing need and determines statewide and regional housing-growth targets. COGs then produce regional assessments recommending municipal affordable-unit goals. First state targets are due December 1, 2026, so completed implementation is not presumed.","Section 8-13dd(b) sets state evaluation factors including replacement, affordability, household formation, demographics and cost burden. Section (c) governs COG methods for municipal recommendations, subject to OPM review, fair-housing factors and the recommendation ceiling.",A municipality writes its growth plan or elects the regional plan. A municipality writing its own plan adopts an affordable goal and may depart from the COG recommendation with written reasons. Its site/infrastructure analysis is separate from OPM's state/regional need determination.,advisory_allocation,COGs recommend municipal goals; OPM approves,"Enacted framework, first targets pending: OPM sets state/regional growth targets by December 1, 2026; COGs recommend municipal affordable-unit shares by June 1, 2027, with OPM approval. Recommended goals are capped at 20% of occupied units. A municipality preparing its own plan may adopt a different goal with written reasons; this is an advisory allocation, not California-style binding need.","COG review, OPM approval limited to statutory conformity, and annual reporting. Late plans affect access to new §8-30g moratoria; growth-program awards depend on progress.","Legally enacted now, but initial plans and recommended shares are not yet due. Municipalities can explain departures from the recommended regional goal.",First targets pending; municipal plans due in 2028 or 2029.,2026-09-20,source_checked,"OPM's implementation guidelines and first targets were not independently located in this review. Classification concerns the statutory framework, not completed implementation.","Conn. Gen. Stat. §§8-13aa–8-13dd (2026 Supp.): https://prdext3.cga.ct.gov/2026/sup/chap_124b.htm | Conn. Nov. Sp. Sess. P.A.25-1, §§4–7, 53: https://www.cga.ct.gov/2025/act/Pa/pdf/2025PA-00001-R00HB-08002SS1-PA.PDF | Southeastern Connecticut Council of Governments, SSPA25-1 implementation: https://secogct.gov/sspa-25-1-an-act-concerning-housing-growth | Conn. P.A.26-138, §3: https://www.cga.ct.gov/2026/ACT/PA/PDF/2026PA-00138-R00HB-05287-PA.PDF | Conn. P.A.26-129, §5: https://www.cga.ct.gov/2026/ACT/PA/PDF/2026PA-00129-R00HB-05521-PA.PDF","Land / sites inventory (required): Inventory developable land; identify practicable zones/parcels and maximum density for the affordable goal. | Land capacity (required): Identify infrastructure needs, including wastewater capacity. | Fair housing (required): Explain compliance with fair housing, choice and economic-diversity duties. | Action program (required): Housing diversity, disability accessibility, consistency with other plans, and implementation schedule. | Monitoring (required): Annual progress reports after plan approval. | Preservation (conditional): Lowest twenty wealth-measure municipalities prioritize existing affordability, rehabilitation, displacement prevention and infrastructure."
30,UT,Utah,3538904,required_subset,Specified municipalities must include a moderate-income housing element meeting §10-21-201. Other municipalities are encouraged to address moderate-income housing.,"Each municipality must prepare and adopt a comprehensive, long-range general plan under §10-20-401.","Cities of the first through fourth classes (population at least 10,000), plus fifth-class cities with population at least 5,000 in first-, second- or third-class counties (county population at least 40,000). A municipality newly qualifying as of January 1 must amend its plan by August 1 that year. Fixed-guideway public-transit stations trigger additional strategy requirements.",local,"The municipal planning commission drafts the moderate-income housing element and analyzes the locality’s realistic opportunity to meet additional moderate-income housing needs over the next five years. The identified duty is local planning, not receipt of a state-calculated municipal housing-need number.","State law sets the five-year horizon, moderate-income focus, strategy menu and implementation/reporting requirements. The reviewed§10-21-201 does not prescribe a state formula assigning each municipality a unit total. State compliance review examines the resulting plan and implementation.",The planning commission analyzes local opportunities and selects the required strategy combination; the municipality adopts and implements its plan. No external regional unit allocation was identified in the reviewed provisions.,local_assessment,No external allocator identified,"The municipality analyzes how it will give a realistic opportunity to meet additional moderate-income housing needs during the next five years. The reviewed provisions prescribe strategy menus and implementation duties, not an externally allocated regional unit share.",State review determines compliance and allows cure and appeal. Noncompliance can cause specified transportation-funding ineligibility and daily fees; the statute also authorizes injunctive enforcement. The 2026 reporting pause preserves qualifying 2025 compliance; normal implementation reporting resumes in 2027.,"This is a mandatory planning-and-strategy system for a population-defined subset, not a California-style assigned unit obligation. The 2025 recodification and July 2026 amendments make older §10-9a citations and older strategy counts incomplete.",,2026-09-20,source_checked,,"Utah Code §10-20-401: https://le.utah.gov/xcode/Title10/Chapter20/C10-20-S401_2025110620251206.html | Utah Code §10-20-403: https://le.utah.gov/xcode/Title10/Chapter20/C10-20-S403_2025110620251206.html | Utah Code §10-21-101(25): https://le.utah.gov/xcode/Title10/Chapter21/C10-21-S101_2026050620260701.html | Utah Code §10-2-301: https://le.utah.gov/xcode/Title10/Chapter2/C10-2-S301_1800010118000101.html | Utah Code §17-60-104: https://le.utah.gov/xcode/Title17/Chapter60/C17-60-S104_2025110620251206.pdf | Utah Code §10-21-201: https://le.utah.gov/xcode/Title10/Chapter21/C10-21-S201_2026050620260701.html | Utah Code §10-21-202: https://le.utah.gov/xcode/Title10/Chapter21/C10-21-S202_2026050620260701.html | Utah Housing Division, Moderate Income Housing: https://housing.utah.gov/affordable-housing/moderate-income/","Housing needs (required): Analyze the municipality's additional moderate-income housing needs for the next five years and realistic opportunities to meet them. | Income groups (required): The element focuses on moderate-income housing, defined as affordable at 80% of county median gross household income, adjusted for household size. | Action program (required): Without a fixed-guideway station: select at least three listed strategies, or at least one of the special housing-zone/density-bonus strategies (X)–(CC). With a station: five including station-area planning and specified transit-density or parking reform, or the alternative three-strategy combination. Adopt a five-year implementation timeline with specific benchmarks. | Monitoring (required): Specified municipalities report implementation actions and barriers, ADUs, entitlements, building permits, occupancy and zoning information. The ordinary report is due August 1; 2026 has a statutory reporting pause and carryover compliance, with a separate July 1 occupancy-count requirement. | Development constraints (conditional): Strategies can address zoning, fees, parking, infrastructure and approvals; no single reform is universally required because municipalities choose among statutory alternatives."
31,NV,Nevada,3282188,required_subset,"A housing element is mandatory for cities and counties in counties with at least 100,000 people. Below that county threshold it is an optional listed master-plan element.","Planning commissions prepare and adopt a long-range master plan. City and county governing bodies may adopt all or portions, subject to mandatory elements; in counties of at least 700,000 the governing body must adopt the complete listed master plan.","The trigger is county population, not city population: counties with 100,000–699,999 must retain housing even in a partial plan; counties of at least 700,000 must adopt all listed elements. The housing element is optional below 100,000.",local,"The local planning commission and city/county governing body analyze housing conditions, projected growth and present/prospective attainable-housing needs.","Section 278.160 specifies inventories and analyses. Housing Division reporting forms and compilation of reports provide oversight, not a state formula calculating the controlling local housing need.","Localities prepare their needs analysis, available-parcel inventory and five-year attainable-housing strategy, then implement required measures and report results.",local_assessment,No external allocator identified,The local master-plan housing element determines present and prospective needs and suitable housing land. The reviewed master-plan and regional-planning provisions do not assign each city a state-calculated fair share. State compilation of local reports does not constitute municipal allocation.,"Covered governing bodies must adopt at least six statutory housing measures and submit annual reports to the Housing Division; § 278.237 also requires annual reporting to the Division and the Advisory Committee on Housing. These are planning, implementation and reporting duties, not a guarantee that a specified number of homes will be built.",County population controls city coverage. The 2025 revised code uses attainable housing and requires at least six implementation measures; neither creates a California-style municipal allocation.,,2026-09-20,source_checked,,"Nev. Rev. Stat. §§ 278.150, 278.160(1)(c), 278.170: https://www.leg.state.nv.us/nrs/nrs-278.html#NRS278Sec150 | Nev. Rev. Stat. §§ 278.235, 278.237: https://www.leg.state.nv.us/nrs/nrs-278.html#NRS278Sec235 | Nev. Rev. Stat. §§ 278.02528, 278.0272, 278.0274: https://www.leg.state.nv.us/nrs/nrs-278.html#NRS278Sec0274","Housing needs (required): Analyze housing conditions, existing stock, projected demographic growth and present/prospective attainable-housing needs. | Income groups (required): Plan adequate housing regardless of income and inventory attainable rental/ownership housing, subsidies and disability-accessible housing. Current code uses defined attainable-housing categories. | Land / sites inventory (required): Inventory available parcels suitable for residential development, including zoning, environmental and other restrictions. This is an actual sites inventory. | Land capacity (required): Inventory land characteristics suitable for housing and infrastructure sufficient for current and projected growth. | Development constraints (required): Identify and plan to mitigate impediments to attainable housing. | Preservation (required): Analyze methods addressing need through new construction, conversion and rehabilitation; maintain and develop attainable housing. | Action program (required): Prepare an attainable-housing plan for at least five years and adopt at least six of the measures listed in § 278.235. | Monitoring (required): Annual March 15 report on implementation measures/results and need; July 15 report on housing-element contents and five-year attainable/market-rate housing plans. State agencies compile/publicize reports."
32,IA,Iowa,3238387,encouraged,"The housing information in §18B.2(2)(d) is expressly optional: municipalities may include plans for adequate housing supply, housing-stock analysis, and policies for diverse choices and rehabilitation. Required consideration of smart-planning principles is not a required housing element.","City zoning regulations must accord with a comprehensive plan. A zoning commission may recommend, and the city council may adopt, a comprehensive plan; §414.3 does not direct every city to adopt a separate plan. Plans and land-development regulations must consider the smart-planning principles.","The smart-planning chapter defines municipality as a city or county. No population cutoff appears in its optional housing guidelines. The Iowa Jobs II disaster-prevention grant statute separately conditions eligibility on applying the smart-planning principles and guidelines, but does not expressly convert every optional housing topic into mandatory plan content.",not_required_or_specified,The optional housing guideline names existing and forecast housing demand but establishes neither a mandatory municipal need estimate nor a designated state or regional assessor.,State law identifies optional topics and examples of stock characteristics; it does not prescribe a housing-demand forecasting formula in these sections.,A city or county can choose to analyze housing stock and future demand and incorporate policies in its plan or land-development regulations. No external municipal number is identified.,none_identified,No external allocator identified,The reviewed smart-planning and municipal zoning provisions do not assign a state or regional housing-unit share to cities. Existing and forecast housing demand is an optional local planning topic.,"§414.3 provides council adoption, published notice and distribution of an adopted comprehensive plan. The reviewed provisions contain no housing-element certification or penalty for omitting the optional housing material. §16.194A has a separate smart-planning condition for disaster-prevention grants.","“Shall consider” smart-planning principles coexists with “may include” housing content. HF2618 proposed to eliminate the chapter in 2026, but its official history shows House passage only, not enactment.",,2026-09-20,source_checked,,"Iowa Code §§18B.1(6), 18B.2(1)(c), (2)(d), (m) (2026): https://www.legis.iowa.gov/docs/code/2026/18B.pdf | Iowa Code §414.3 (2026): https://www.legis.iowa.gov/docs/code/2026/414.3.pdf | Iowa Code §16.194A(2) (2026): https://www.legis.iowa.gov/docs/code/2026/16.194A.pdf | Iowa Legislature, HF2618 bill history, 91st General Assembly: https://www.legis.iowa.gov/legislation/billTracking/billHistory?billName=HF2618&ga=91","Housing needs (encouraged): Plans to ensure adequate supply for existing and forecast housing demand are optional. | Other content (encouraged): Optional inventory and analysis concerns existing housing stock—age, condition, type, market value, occupancy, and history—not a parcel inventory of developable sites. | Preservation (encouraged): Optional policies can support maintenance and rehabilitation of existing housing. | Action program (encouraged): Optional policies and programs can promote new housing and a range of housing choices; implementation actions may be compiled in the plan."
33,AR,Arkansas,3114791,no_explicit_requirement,"No express housing element, required housing-needs estimate or standing equivalent municipal housing-policy plan was identified in the reviewed municipal planning provisions. They authorize land-use, community-facilities, master-street and other plans with general development objectives.","Cities of the first and second class and incorporated towns have power to adopt and enforce municipal plans. The framework is elective; if used, a land-use plan precedes a recommended zoning ordinance, and prescribed studies/adoption procedures apply.","Reviewed the municipal framework for first-class cities, second-class cities and incorporated towns, including actual plan-content provisions. No housing-element population trigger was identified. The former extraterritorial planning thresholds were repealed by 2025 Act 314 and are not housing-element cutoffs.",not_required_or_specified,"The planning commission must undertake suitable studies for the plans it prepares, but the listed plan subjects do not require a quantified housing-needs assessment or designate a housing-demand assessor.",§14-56-414(a) requires suitable plan-related studies and specifies their sequence. Neither that section’s land-use/facilities/street topics nor §14-56-403’s general objectives prescribe a housing-demand formula in the reviewed text.,The city and its commission choose plans and perform relevant studies under the statutory process. A voluntarily prepared local housing study is not coded as a mandated municipal assessment.,none_identified,No external allocator identified,The reviewed municipal planning provisions do not specify a state/regional housing-needs total or assign municipal housing-unit shares. Required suitable studies of a chosen plan do not establish external need allocation.,"The planning framework uses a commission hearing, certification to the city legislative body, local adoption and filing. The 2025 administrative-rezoning pathway has a limited exception. No state housing-element approval or housing-need target sanction is identified in the reviewed provisions.",The 2025 ADU law directly preempts specified local restrictions; it does not establish a housing element or an external need allocation. General authority to prepare plans and suitable studies is not an express housing assessment mandate.,,2026-09-20,needs_review,"Core §§14-56-402, 403 and 414 were read in the 2025 code reproduction and checked against Municipal League guidance, but the state-linked official Lexis consolidated text did not expose readable sections. Official 2025 Acts 313, 314 and 595 were read; full current consolidated primary-code verification remains.","Ark. Code Ann. §14-56-402 (2025 reproduction): https://law.justia.com/codes/arkansas/title-14/subtitle-3/chapter-56/subchapter-4/section-14-56-402/ | Ark. Code Ann. §14-56-403 (2025 reproduction): https://law.justia.com/codes/arkansas/title-14/subtitle-3/chapter-56/subchapter-4/section-14-56-403/ | Ark. Code Ann. §14-56-414 (2025 reproduction): https://law.justia.com/codes/arkansas/title-14/subtitle-3/chapter-56/subchapter-4/section-14-56-414/ | Ark. Code Ann. §14-56-416 (2025 reproduction): https://law.justia.com/codes/arkansas/title-14/subtitle-3/chapter-56/subchapter-4/section-14-56-416/ | Arkansas Municipal League, Civilpedia, Section 4: Planning and Zoning (2024): https://www.armunileague.org/wp-content/uploads/2024/07/Civilpedia_Sec04_Planning.pdf | 2025 Ark. Acts 313, §1, adding Ark. Code Ann. §14-56-205: https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT313.pdf | 2025 Ark. Acts 314, §§5 and 7: https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT314.pdf | 2025 Ark. Acts 595, §§1–3: https://www.arkleg.state.ar.us/Home/FTPDocument?path=%2FACTS%2F2025R%2FPublic%2FACT595.pdf",
